severe dehydration | Suffering from severe dehydration started for two hours. | Emergency Department (ED)
acute non-healing ulcer | Experiencing acute non-healing ulcer came on for one day. | Oncology
persistent lump in breast when lying down | Noticing persistent lump in breast when lying down appeared for a week. | Oncology
blood in urine | Suffering from blood in urine came on for two hours. | Oncology
unexplained weight loss | Feeling unexplained weight loss came on since last night. | Oncology
persistent cough for months | Having persistent cough for months came on for one day. | Oncology
hoarseness lasting over a month | Experiencing hoarseness lasting over a month started for three days. | Oncology
difficulty swallowing progressively worse | Noticing difficulty swallowing progressively worse began for a week. | Oncology
acute persistent cough for months | Experiencing acute persistent cough for months began for three days. | Oncology
crushing blood in sputum | Noticing crushing blood in sputum started for several weeks. | Oncology
persistent lump in breast | Suffering from persistent lump in breast began for one day. | Oncology
crushing persistent low-grade fever on exertion | Suffering from crushing persistent low-grade fever on exertion started for 10 minutes. | Oncology
night sweats after meals | Having night sweats after meals came on for six months. | Oncology
non-healing ulcer at rest | Feeling non-healing ulcer at rest started for a week. | Oncology
throbbing family history of colon cancer | Experiencing throbbing family history of colon cancer appeared for three days. | Oncology
change in mole | Suffering from change in mole started for one day. | Oncology
sudden unexplained weight loss after exercise | Experiencing sudden unexplained weight loss after exercise appeared for two hours. | Oncology
persistent low-grade fever | Experiencing persistent low-grade fever appeared for three days. | Oncology
night sweats | Experiencing night sweats started for three days. | Oncology
intermittent difficulty swallowing progressively worse | Suffering from intermittent difficulty swallowing progressively worse came on for three days. | Oncology
bone pain at night | Experiencing bone pain at night began for two hours. | Oncology
burning bone pain at night | Having burning bone pain at night began since this morning. | Oncology
crushing difficulty swallowing progressively worse | Feeling crushing difficulty swallowing progressively worse began for three days. | Oncology
sharp blood in urine | Having sharp blood in urine appeared for 10 minutes. | Oncology
burning persistent cough for months at rest | Suffering from burning persistent cough for months at rest appeared for one day. | Oncology
intermittent family history of colon cancer | Having intermittent family history of colon cancer appeared since last night. | Oncology
persistent non-healing ulcer | Suffering from persistent non-healing ulcer came on for a week. | Oncology
intermittent hair thinning | Having intermittent hair thinning began for two hours. | Endocrinology
tremor with weight loss after meals | Having tremor with weight loss after meals began for three days. | Endocrinology
crushing tremor with weight loss | Noticing crushing tremor with weight loss began for two hours. | Endocrinology
goiter for several days | Noticing goiter for several days began for six months. | Endocrinology
persistent unexplained weight gain | Experiencing persistent unexplained weight gain started for 10 minutes. | Endocrinology
chronic low blood sugar episodes at rest | Having chronic low blood sugar episodes at rest appeared for six months. | Endocrinology
acute heat intolerance on exertion | Noticing acute heat intolerance on exertion started for 10 minutes. | Endocrinology
heat intolerance | Suffering from heat intolerance began for six months. | Endocrinology
severe fatigue despite sleeping well worsening over time | Feeling severe fatigue despite sleeping well worsening over time began for six months. | Endocrinology
sharp cold intolerance | Feeling sharp cold intolerance began for two hours. | Endocrinology
heat intolerance after meals | Having heat intolerance after meals came on for 10 minutes. | Endocrinology
dull heat intolerance at rest | Suffering from dull heat intolerance at rest began for six months. | Endocrinology
frequent urination at rest | Feeling frequent urination at rest began for one day. | Endocrinology
severe unexplained weight gain | Suffering from severe unexplained weight gain started for a week. | Endocrinology
dull brittle nails | Experiencing dull brittle nails began for three days. | Endocrinology
irregular menstrual cycles | Experiencing irregular menstrual cycles appeared since yesterday. | Endocrinology
severe low blood sugar episodes | Feeling severe low blood sugar episodes began for three days. | Endocrinology
throbbing irregular menstrual cycles | Noticing throbbing irregular menstrual cycles appeared for three days. | Endocrinology
sharp hair thinning | Having sharp hair thinning began for one day. | Endocrinology
chronic unexplained weight gain | Feeling chronic unexplained weight gain came on since yesterday. | Endocrinology
sudden unexplained weight gain | Experiencing sudden unexplained weight gain began for one day. | Endocrinology
increased thirst when lying down | Feeling increased thirst when lying down started since this morning. | Endocrinology
sharp increased thirst | Feeling sharp increased thirst started for two hours. | Endocrinology
dull brittle nails on exertion | Noticing dull brittle nails on exertion began for several weeks. | Endocrinology
acute frequent urination | Feeling acute frequent urination appeared for one day. | Endocrinology
throbbing tremor with weight loss | Experiencing throbbing tremor with weight loss started for several weeks. | Endocrinology
dull loss of libido when lying down | Feeling dull loss of libido when lying down began for several weeks. | Endocrinology
sudden frequent urination | Having sudden frequent urination started for 10 minutes. | Endocrinology
burning low blood sugar episodes | Feeling burning low blood sugar episodes started for 10 minutes. | Endocrinology
burning irregular menstrual cycles at rest | Suffering from burning irregular menstrual cycles at rest came on since last night. | Endocrinology
hair loss patches | Suffering from hair loss patches came on for one day. | Dermatology
sharp dark spot changing color | Noticing sharp dark spot changing color came on for one day. | Dermatology
scalp itchiness worsening over time | Experiencing scalp itchiness worsening over time started for several weeks. | Dermatology
burning nail discoloration | Noticing burning nail discoloration began for three days. | Dermatology
nail discoloration | Suffering from nail discoloration appeared for two hours. | Dermatology
ingrown toenail at rest | Suffering from ingrown toenail at rest started since this morning. | Dermatology
chronic nail discoloration | Noticing chronic nail discoloration came on for six months. | Dermatology
sharp hair loss patches after meals | Noticing sharp hair loss patches after meals appeared since yesterday. | Dermatology
persistent eczema flare | Experiencing persistent eczema flare appeared since last night. | Dermatology
sudden itchy rash at night | Suffering from sudden itchy rash at night came on for six months. | Dermatology
sharp acne on face | Noticing sharp acne on face began for six months. | Dermatology
sharp warts on hand | Suffering from sharp warts on hand started since this morning. | Dermatology
painful blister | Suffering from painful blister started for 10 minutes. | Dermatology
crushing sunburn peeling | Experiencing crushing sunburn peeling started since yesterday. | Dermatology
burning cold sore outbreak | Experiencing burning cold sore outbreak came on since yesterday. | Dermatology
chronic scalp itchiness | Suffering from chronic scalp itchiness came on for several weeks. | Dermatology
acute warts on hand | Suffering from acute warts on hand began for two hours. | Dermatology
dull scalp itchiness at night | Suffering from dull scalp itchiness at night appeared for one day. | Dermatology
sharp cold sore outbreak | Experiencing sharp cold sore outbreak came on for 10 minutes. | Dermatology
dull hair loss patches after meals | Noticing dull hair loss patches after meals came on for three days. | Dermatology
severe dark spot changing color | Having severe dark spot changing color came on for six months. | Dermatology
dark spot changing color | Noticing dark spot changing color came on since this morning. | Dermatology
painful blister on exertion | Suffering from painful blister on exertion began for three days. | Dermatology
crushing dark spot changing color | Suffering from crushing dark spot changing color came on for three days. | Dermatology
hives after food | Feeling hives after food appeared for six months. | Dermatology
persistent warts on hand | Having persistent warts on hand came on for a week. | Dermatology
crushing scalp itchiness | Noticing crushing scalp itchiness began for six months. | Dermatology
itchy rash | Experiencing itchy rash started for a week. | Dermatology
acute ingrown toenail | Having acute ingrown toenail came on since yesterday. | Dermatology
intermittent ingrown toenail | Noticing intermittent ingrown toenail came on for one day. | Dermatology
dull gallbladder attack after meals | Experiencing dull gallbladder attack after meals started since yesterday. | General Surgery
sharp rectal bleeding requiring surgery | Noticing sharp rectal bleeding requiring surgery began for two hours. | General Surgery
persistent abdominal wall hernia | Experiencing persistent abdominal wall hernia appeared for 10 minutes. | General Surgery
sudden rectal bleeding requiring surgery | Suffering from sudden rectal bleeding requiring surgery started for 10 minutes. | General Surgery
sudden large skin cyst | Experiencing sudden large skin cyst appeared for one day. | General Surgery
intermittent breast lump needing excision with minimal activity | Feeling intermittent breast lump needing excision with minimal activity came on for several weeks. | General Surgery
sudden gallbladder attack | Having sudden gallbladder attack started for six months. | General Surgery
rectal bleeding requiring surgery on exertion | Feeling rectal bleeding requiring surgery on exertion started since last night. | General Surgery
dull goiter needing removal | Feeling dull goiter needing removal began since yesterday. | General Surgery
groin hernia bulge | Noticing groin hernia bulge started for six months. | General Surgery
appendicitis-like pain | Feeling appendicitis-like pain appeared since this morning. | General Surgery
rectal bleeding requiring surgery | Feeling rectal bleeding requiring surgery appeared for two hours. | General Surgery
thyroid nodule | Suffering from thyroid nodule began for three days. | General Surgery
acute gallbladder attack | Suffering from acute gallbladder attack appeared for one day. | General Surgery
goiter needing removal after meals | Suffering from goiter needing removal after meals appeared for three days. | General Surgery
large skin cyst with minimal activity | Noticing large skin cyst with minimal activity started for six months. | General Surgery
painful hemorrhoid | Feeling painful hemorrhoid came on for a week. | General Surgery
sharp thyroid nodule | Feeling sharp thyroid nodule appeared for one day. | General Surgery
chronic abdominal wall hernia | Feeling chronic abdominal wall hernia appeared for three days. | General Surgery
persistent thyroid nodule | Feeling persistent thyroid nodule appeared for 10 minutes. | General Surgery
persistent gallbladder attack | Feeling persistent gallbladder attack started for six months. | General Surgery
sudden goiter needing removal | Noticing sudden goiter needing removal came on for 10 minutes. | General Surgery
severe appendicitis-like pain | Suffering from severe appendicitis-like pain appeared for six months. | General Surgery
throbbing thyroid nodule on exertion | Having throbbing thyroid nodule on exertion came on since last night. | General Surgery
breast lump needing excision | Having breast lump needing excision began for 10 minutes. | General Surgery
persistent goiter needing removal | Noticing persistent goiter needing removal came on since last night. | General Surgery
persistent goiter needing removal on exertion | Experiencing persistent goiter needing removal on exertion appeared for three days. | General Surgery
burning thyroid nodule | Feeling burning thyroid nodule came on for 10 minutes. | General Surgery
crushing groin hernia bulge | Feeling crushing groin hernia bulge started for two hours. | General Surgery
gallbladder attack | Suffering from gallbladder attack came on since last night. | General Surgery
high fever for three days | Suffering from high fever for three days started for three days. | Infectious Diseases
recurrent urinary infections at rest | Experiencing recurrent urinary infections at rest started since this morning. | Infectious Diseases
tick bite with rash | Feeling tick bite with rash appeared since last night. | Infectious Diseases
HIV positive test on exertion | Experiencing HIV positive test on exertion appeared for two hours. | Infectious Diseases
persistent sore throat | Experiencing persistent sore throat began for six months. | Infectious Diseases
crushing non-healing infected wound | Noticing crushing non-healing infected wound appeared for two hours. | Infectious Diseases
intermittent tick bite with rash | Experiencing intermittent tick bite with rash came on for a week. | Infectious Diseases
persistent sore throat with minimal activity | Suffering from persistent sore throat with minimal activity came on for one day. | Infectious Diseases
HIV positive test | Suffering from HIV positive test began for three days. | Infectious Diseases
severe HIV positive test | Having severe HIV positive test appeared for three days. | Infectious Diseases
sudden prolonged diarrhea | Noticing sudden prolonged diarrhea began for a week. | Infectious Diseases
HIV positive test after exercise | Suffering from HIV positive test after exercise appeared for one day. | Infectious Diseases
chronic high fever for three days | Experiencing chronic high fever for three days started since this morning. | Infectious Diseases
chronic persistent sore throat | Feeling chronic persistent sore throat appeared for two hours. | Infectious Diseases
burning persistent sore throat at night | Having burning persistent sore throat at night came on for 10 minutes. | Infectious Diseases
severe travel-related fever | Having severe travel-related fever came on for 10 minutes. | Infectious Diseases
persistent unexplained night sweats | Experiencing persistent unexplained night sweats appeared for three days. | Infectious Diseases
burning non-healing infected wound | Having burning non-healing infected wound began since this morning. | Infectious Diseases
chronic unexplained night sweats | Feeling chronic unexplained night sweats came on for a week. | Infectious Diseases
severe recurrent urinary infections | Having severe recurrent urinary infections came on for six months. | Infectious Diseases
severe prolonged diarrhea | Having severe prolonged diarrhea began for three days. | Infectious Diseases
sharp prolonged diarrhea with minimal activity | Experiencing sharp prolonged diarrhea with minimal activity started since last night. | Infectious Diseases
severe tick bite with rash | Experiencing severe tick bite with rash began since this morning. | Infectious Diseases
burning prolonged diarrhea | Noticing burning prolonged diarrhea came on for several weeks. | Infectious Diseases
severe non-healing infected wound after meals | Experiencing severe non-healing infected wound after meals came on for a week. | Infectious Diseases
sudden high fever for three days | Noticing sudden high fever for three days started since last night. | Infectious Diseases
travel-related fever when lying down | Having travel-related fever when lying down started since yesterday. | Infectious Diseases
crushing hepatitis exposure concern | Having crushing hepatitis exposure concern appeared for two hours. | Infectious Diseases
burning high fever for three days at night | Feeling burning high fever for three days at night began since yesterday. | Infectious Diseases
dull tick bite with rash | Suffering from dull tick bite with rash came on for two hours. | Infectious Diseases
sudden leaking urine when coughing at night | Feeling sudden leaking urine when coughing at night came on since last night. | Urology
burning sudden urge to urinate | Suffering from burning sudden urge to urinate came on for three days. | Urology
dull leaking urine when coughing after exercise | Feeling dull leaking urine when coughing after exercise appeared for six months. | Urology
chronic testicular pain | Feeling chronic testicular pain began since last night. | Urology
sudden burning urination | Having sudden burning urination appeared for 10 minutes. | Urology
burning urination | Feeling burning urination came on for one day. | Urology
crushing blood in urine | Experiencing crushing blood in urine started since last night. | Urology
scrotal swelling when lying down | Suffering from scrotal swelling when lying down came on for six months. | Urology
throbbing frequent urination at night | Feeling throbbing frequent urination at night came on since last night. | Urology
sudden leaking urine when coughing in the morning | Experiencing sudden leaking urine when coughing in the morning appeared for two hours. | Urology
inability to urinate | Experiencing inability to urinate came on for one day. | Urology
chronic sudden urge to urinate | Feeling chronic sudden urge to urinate appeared for 10 minutes. | Urology
sharp inability to urinate with minimal activity | Noticing sharp inability to urinate with minimal activity came on for one day. | Urology
burning urination on exertion | Having burning urination on exertion started for a week. | Urology
severe flank pain radiating to groin | Having severe flank pain radiating to groin appeared for three days. | Urology
testicular pain | Feeling testicular pain appeared for three days. | Urology
frequent urination at night after meals | Suffering from frequent urination at night after meals started for three days. | Urology
dull inability to urinate | Noticing dull inability to urinate started for 10 minutes. | Urology
sharp weak urine stream | Noticing sharp weak urine stream came on for one day. | Urology
intermittent testicular pain | Suffering from intermittent testicular pain started for six months. | Urology
dull scrotal swelling | Suffering from dull scrotal swelling came on for 10 minutes. | Urology
intermittent burning urination | Having intermittent burning urination started for six months. | Urology
acute blood in urine | Noticing acute blood in urine came on for six months. | Urology
sharp burning urination after meals | Having sharp burning urination after meals came on for three days. | Urology
severe burning urination | Noticing severe burning urination came on for three days. | Urology
acute flank pain radiating to groin at rest | Having acute flank pain radiating to groin at rest began since yesterday. | Urology
flank pain radiating to groin on exertion | Noticing flank pain radiating to groin on exertion came on for six months. | Urology
persistent flank pain radiating to groin when lying down | Suffering from persistent flank pain radiating to groin when lying down came on since last night. | Urology
scrotal swelling | Suffering from scrotal swelling came on for 10 minutes. | Urology
persistent burning urination | Experiencing persistent burning urination started for a week. | Urology
acute persistent high blood pressure | Having acute persistent high blood pressure began for three days. | Nephrology
sharp frothy urine at night | Feeling sharp frothy urine at night appeared since last night. | Nephrology
persistent chronic kidney disease follow‑up | Experiencing persistent chronic kidney disease follow‑up began since this morning. | Nephrology
chronic kidney disease follow‑up with minimal activity | Noticing chronic kidney disease follow‑up with minimal activity started for a week. | Nephrology
intermittent recurrent kidney stones | Having intermittent recurrent kidney stones started since last night. | Nephrology
acute persistent high blood pressure after meals | Feeling acute persistent high blood pressure after meals began for a week. | Nephrology
frothy urine | Having frothy urine began for two hours. | Nephrology
severe chronic kidney disease follow‑up after exercise | Having severe chronic kidney disease follow‑up after exercise started for one day. | Nephrology
intermittent blood in urine | Suffering from intermittent blood in urine started for several weeks. | Nephrology
dull elevated creatinine | Suffering from dull elevated creatinine came on for six months. | Nephrology
sharp blood in urine after exercise | Feeling sharp blood in urine after exercise came on for two hours. | Nephrology
sudden chronic kidney disease follow‑up in the morning | Experiencing sudden chronic kidney disease follow‑up in the morning started for a week. | Nephrology
recurrent kidney stones | Suffering from recurrent kidney stones began for 10 minutes. | Nephrology
decreased urine output | Noticing decreased urine output appeared for six months. | Nephrology
dull recurrent kidney stones | Noticing dull recurrent kidney stones came on for three days. | Nephrology
severe elevated creatinine at night | Feeling severe elevated creatinine at night began for 10 minutes. | Nephrology
persistent high blood pressure | Feeling persistent high blood pressure began for six months. | Nephrology
blood in urine after meals | Suffering from blood in urine after meals came on since last night. | Nephrology
chronic kidney disease follow‑up | Noticing chronic kidney disease follow‑up appeared for 10 minutes. | Nephrology
dull blood in urine | Feeling dull blood in urine started for several weeks. | Nephrology
sharp swelling in legs | Feeling sharp swelling in legs came on since this morning. | Nephrology
chronic decreased urine output for several days | Noticing chronic decreased urine output for several days began for 10 minutes. | Nephrology
crushing blood in urine in the morning | Noticing crushing blood in urine in the morning came on for six months. | Nephrology
chronic blood in urine | Feeling chronic blood in urine appeared since last night. | Nephrology
nocturnal urination | Suffering from nocturnal urination began since yesterday. | Nephrology
chronic watery eyes on exertion | Having chronic watery eyes on exertion began since yesterday. | Ophthalmology
red itchy eyes | Feeling red itchy eyes began for six months. | Ophthalmology
halos around lights | Having halos around lights appeared for several weeks. | Ophthalmology
eye pain for several days | Noticing eye pain for several days started for six months. | Ophthalmology
throbbing loss of peripheral vision | Noticing throbbing loss of peripheral vision started since this morning. | Ophthalmology
sharp blurry vision | Noticing sharp blurry vision came on for one day. | Ophthalmology
watery eyes | Experiencing watery eyes appeared for three days. | Ophthalmology
severe watery eyes | Feeling severe watery eyes started for 10 minutes. | Ophthalmology
chronic floaters | Feeling chronic floaters started for several weeks. | Ophthalmology
loss of peripheral vision | Feeling loss of peripheral vision appeared since last night. | Ophthalmology
dull eye pain at night | Experiencing dull eye pain at night came on since yesterday. | Ophthalmology
throbbing eye pain | Noticing throbbing eye pain began since yesterday. | Ophthalmology
severe loss of peripheral vision | Experiencing severe loss of peripheral vision came on for a week. | Ophthalmology
throbbing floaters for several days | Suffering from throbbing floaters for several days started for a week. | Ophthalmology
persistent blurry vision worsening over time | Feeling persistent blurry vision worsening over time began for two hours. | Ophthalmology
dull dry eyes with minimal activity | Experiencing dull dry eyes with minimal activity appeared for a week. | Ophthalmology
persistent loss of peripheral vision | Having persistent loss of peripheral vision started for three days. | Ophthalmology
dry eyes worsening over time | Noticing dry eyes worsening over time began for one day. | Ophthalmology
burning watery eyes | Having burning watery eyes started for one day. | Ophthalmology
acute halos around lights | Suffering from acute halos around lights started for two hours. | Ophthalmology
loss of peripheral vision on exertion | Suffering from loss of peripheral vision on exertion appeared for six months. | Ophthalmology
sharp watery eyes after meals | Noticing sharp watery eyes after meals started for six months. | Ophthalmology
chronic dry eyes | Having chronic dry eyes came on for a week. | Ophthalmology
severe red itchy eyes | Having severe red itchy eyes started since last night. | Ophthalmology
flashes of light | Noticing flashes of light began for 10 minutes. | Ophthalmology
snoring loudly | Having snoring loudly started for a week. | ENT (Otorhinolaryngology)
voice hoarseness | Experiencing voice hoarseness came on for one day. | ENT (Otorhinolaryngology)
persistent dizziness episodes | Having persistent dizziness episodes started since last night. | ENT (Otorhinolaryngology)
sudden ear pain in the morning | Suffering from sudden ear pain in the morning started for 10 minutes. | ENT (Otorhinolaryngology)
ringing in ears for several days | Noticing ringing in ears for several days came on for three days. | ENT (Otorhinolaryngology)
nasal congestion | Suffering from nasal congestion started since this morning. | ENT (Otorhinolaryngology)
dull ear pain | Feeling dull ear pain came on since yesterday. | ENT (Otorhinolaryngology)
acute nasal congestion | Suffering from acute nasal congestion started since yesterday. | ENT (Otorhinolaryngology)
persistent ear pain | Feeling persistent ear pain began for several weeks. | ENT (Otorhinolaryngology)
chronic hearing loss when lying down | Feeling chronic hearing loss when lying down began for two hours. | ENT (Otorhinolaryngology)
throbbing snoring loudly at night | Having throbbing snoring loudly at night came on since yesterday. | ENT (Otorhinolaryngology)
dizziness episodes | Feeling dizziness episodes started for 10 minutes. | ENT (Otorhinolaryngology)
dull voice hoarseness | Experiencing dull voice hoarseness began for 10 minutes. | ENT (Otorhinolaryngology)
ringing in ears | Experiencing ringing in ears started for several weeks. | ENT (Otorhinolaryngology)
burning snoring loudly | Feeling burning snoring loudly appeared for six months. | ENT (Otorhinolaryngology)
dizziness episodes after meals | Having dizziness episodes after meals began for three days. | ENT (Otorhinolaryngology)
sharp dizziness episodes after meals | Feeling sharp dizziness episodes after meals started for two hours. | ENT (Otorhinolaryngology)
sudden nasal congestion | Noticing sudden nasal congestion started for three days. | ENT (Otorhinolaryngology)
severe dizziness episodes | Having severe dizziness episodes started for several weeks. | ENT (Otorhinolaryngology)
vertigo when turning head for several days | Noticing vertigo when turning head for several days appeared for one day. | ENT (Otorhinolaryngology)
sudden dizziness episodes with minimal activity | Feeling sudden dizziness episodes with minimal activity started since last night. | ENT (Otorhinolaryngology)
intermittent ringing in ears | Having intermittent ringing in ears started since yesterday. | ENT (Otorhinolaryngology)
persistent ear pain in the morning | Noticing persistent ear pain in the morning started for three days. | ENT (Otorhinolaryngology)
crushing frequent nosebleeds | Noticing crushing frequent nosebleeds came on for one day. | ENT (Otorhinolaryngology)
crushing vertigo when turning head | Having crushing vertigo when turning head came on for one day. | ENT (Otorhinolaryngology)
acute prolonged bleeding from cuts | Experiencing acute prolonged bleeding from cuts began for 10 minutes. | Hematology
sudden easy bruising | Suffering from sudden easy bruising appeared since yesterday. | Hematology
burning low platelet count | Noticing burning low platelet count began for six months. | Hematology
burning swollen lymph nodes at rest | Noticing burning swollen lymph nodes at rest appeared since yesterday. | Hematology
recurrent nosebleeds | Feeling recurrent nosebleeds started for two hours. | Hematology
pale skin and gums | Having pale skin and gums started for six months. | Hematology
crushing easy bruising | Suffering from crushing easy bruising came on for three days. | Hematology
burning recurrent nosebleeds after exercise | Noticing burning recurrent nosebleeds after exercise started for six months. | Hematology
swollen lymph nodes | Suffering from swollen lymph nodes came on since this morning. | Hematology
easy bruising in the morning | Noticing easy bruising in the morning came on for a week. | Hematology
intermittent fatigue anemia after meals | Experiencing intermittent fatigue anemia after meals appeared for six months. | Hematology
blood clots in legs | Suffering from blood clots in legs came on for one day. | Hematology
high white cell count at rest | Having high white cell count at rest started since this morning. | Hematology
sudden high white cell count at rest | Having sudden high white cell count at rest started for 10 minutes. | Hematology
high white cell count on exertion | Feeling high white cell count on exertion appeared for two hours. | Hematology
crushing pale skin and gums | Suffering from crushing pale skin and gums came on for three days. | Hematology
prolonged bleeding from cuts | Suffering from prolonged bleeding from cuts appeared since last night. | Hematology
prolonged bleeding from cuts after meals | Suffering from prolonged bleeding from cuts after meals appeared since this morning. | Hematology
persistent sickle cell pain crisis for several days | Having persistent sickle cell pain crisis for several days appeared since last night. | Hematology
chronic blood clots in legs in the morning | Noticing chronic blood clots in legs in the morning started since yesterday. | Hematology
throbbing sickle cell pain crisis worsening over time | Suffering from throbbing sickle cell pain crisis worsening over time began for six months. | Hematology
intermittent prolonged bleeding from cuts | Experiencing intermittent prolonged bleeding from cuts began for three days. | Hematology
sudden prolonged bleeding from cuts | Feeling sudden prolonged bleeding from cuts began for six months. | Hematology
easy bruising | Suffering from easy bruising started for six months. | Hematology
sharp swollen lymph nodes for several days | Noticing sharp swollen lymph nodes for several days started for 10 minutes. | Hematology
delayed milestones | Noticing delayed milestones started for six months. | Pediatrics
colic crying after meals | Feeling colic crying after meals came on for one day. | Pediatrics
severe fever in toddler | Noticing severe fever in toddler came on since last night. | Pediatrics
severe persistent cough in child at night | Suffering from severe persistent cough in child at night appeared for three days. | Pediatrics
sharp persistent cough in child | Experiencing sharp persistent cough in child started for a week. | Pediatrics
throbbing fever in toddler for several days | Noticing throbbing fever in toddler for several days started since this morning. | Pediatrics
persistent diarrhea and dehydration | Suffering from persistent diarrhea and dehydration began for one day. | Pediatrics
sudden fever in toddler | Suffering from sudden fever in toddler came on since last night. | Pediatrics
vomiting in child | Noticing vomiting in child began since last night. | Pediatrics
intermittent persistent cough in child | Suffering from intermittent persistent cough in child began since yesterday. | Pediatrics
poor feeding in infant | Noticing poor feeding in infant came on for two hours. | Pediatrics
severe ear pulling behavior with minimal activity | Experiencing severe ear pulling behavior with minimal activity started for two hours. | Pediatrics
chronic persistent cough in child | Noticing chronic persistent cough in child came on for one day. | Pediatrics
colic crying | Experiencing colic crying appeared for three days. | Pediatrics
sharp poor feeding in infant | Having sharp poor feeding in infant began for several weeks. | Pediatrics
school refusal | Experiencing school refusal began for several weeks. | Pediatrics
burning persistent cough in child at rest | Noticing burning persistent cough in child at rest appeared for one day. | Pediatrics
throbbing diarrhea and dehydration for several days | Feeling throbbing diarrhea and dehydration for several days started for three days. | Pediatrics
throbbing rash in child after exercise | Noticing throbbing rash in child after exercise came on for three days. | Pediatrics
burning fever in toddler | Experiencing burning fever in toddler appeared since last night. | Pediatrics
persistent cough in child | Noticing persistent cough in child appeared for one day. | Pediatrics
crushing vomiting in child with minimal activity | Experiencing crushing vomiting in child with minimal activity appeared for three days. | Pediatrics
fever in toddler with minimal activity | Feeling fever in toddler with minimal activity started for several weeks. | Pediatrics
crushing colic crying in the morning | Feeling crushing colic crying in the morning appeared for three days. | Pediatrics
burning poor feeding in infant | Having burning poor feeding in infant began for one day. | Pediatrics
sharp fatigue and aching joints after exercise | Having sharp fatigue and aching joints after exercise appeared for one day. | Rheumatology
throbbing joint swelling in hands | Feeling throbbing joint swelling in hands began for 10 minutes. | Rheumatology
crushing butterfly rash on face for several days | Having crushing butterfly rash on face for several days appeared since this morning. | Rheumatology
burning morning joint stiffness when lying down | Noticing burning morning joint stiffness when lying down began since last night. | Rheumatology
joint swelling in hands | Experiencing joint swelling in hands came on for three days. | Rheumatology
dull chronic muscle pain with minimal activity | Feeling dull chronic muscle pain with minimal activity started since this morning. | Rheumatology
dry mouth and eyes | Experiencing dry mouth and eyes started for six months. | Rheumatology
persistent fatigue and aching joints for several days | Feeling persistent fatigue and aching joints for several days appeared for 10 minutes. | Rheumatology
morning joint stiffness | Suffering from morning joint stiffness came on since this morning. | Rheumatology
back pain alternating sides | Experiencing back pain alternating sides came on since yesterday. | Rheumatology
chronic muscle pain on exertion | Feeling chronic muscle pain on exertion appeared since this morning. | Rheumatology
throbbing fingers turning white in cold | Having throbbing fingers turning white in cold appeared for six months. | Rheumatology
joint swelling in hands after meals | Experiencing joint swelling in hands after meals appeared for several weeks. | Rheumatology
acute joint pain after rest after exercise | Experiencing acute joint pain after rest after exercise came on for two hours. | Rheumatology
joint swelling in hands at rest | Suffering from joint swelling in hands at rest came on for one day. | Rheumatology
intermittent back pain alternating sides when lying down | Experiencing intermittent back pain alternating sides when lying down came on for three days. | Rheumatology
severe joint swelling in hands for several days | Suffering from severe joint swelling in hands for several days appeared for several weeks. | Rheumatology
joint pain after rest | Having joint pain after rest started for 10 minutes. | Rheumatology
chronic fingers turning white in cold | Noticing chronic fingers turning white in cold began for a week. | Rheumatology
persistent morning joint stiffness | Having persistent morning joint stiffness came on for several weeks. | Rheumatology
sudden fatigue and aching joints | Noticing sudden fatigue and aching joints appeared for one day. | Rheumatology
chronic muscle pain with minimal activity | Suffering from chronic muscle pain with minimal activity appeared since last night. | Rheumatology
throbbing morning joint stiffness | Having throbbing morning joint stiffness came on for a week. | Rheumatology
chronic muscle pain | Noticing chronic muscle pain appeared for one day. | Rheumatology
sharp chronic muscle pain after exercise | Experiencing sharp chronic muscle pain after exercise came on for two hours. | Rheumatology
allergy to anesthesia concern | Experiencing allergy to anesthesia concern appeared for two hours. | Anesthesiology
intermittent severe pain requiring epidural with minimal activity | Feeling intermittent severe pain requiring epidural with minimal activity began for two hours. | Anesthesiology
post‑operative nausea | Feeling post‑operative nausea came on for one day. | Anesthesiology
dull difficult airway history | Having dull difficult airway history appeared for several weeks. | Anesthesiology
chronic post‑operative nausea | Noticing chronic post‑operative nausea appeared for one day. | Anesthesiology
intermittent allergy to anesthesia concern | Experiencing intermittent allergy to anesthesia concern began for six months. | Anesthesiology
burning post‑operative nausea | Feeling burning post‑operative nausea began since last night. | Anesthesiology
severe pain requiring epidural | Experiencing severe pain requiring epidural came on since last night. | Anesthesiology
crushing severe pain requiring epidural in the morning | Experiencing crushing severe pain requiring epidural in the morning started for three days. | Anesthesiology
chronic severe pain requiring epidural | Suffering from chronic severe pain requiring epidural began since this morning. | Anesthesiology
persistent severe pain requiring epidural | Noticing persistent severe pain requiring epidural began for a week. | Anesthesiology
acute difficult airway history at rest | Having acute difficult airway history at rest appeared since this morning. | Anesthesiology
severe pain requiring epidural in the morning | Experiencing severe pain requiring epidural in the morning appeared for two hours. | Anesthesiology
intermittent severe pain requiring epidural | Noticing intermittent severe pain requiring epidural came on for two hours. | Anesthesiology
crushing chronic pain needing nerve block | Experiencing crushing chronic pain needing nerve block came on since yesterday. | Anesthesiology
burning allergy to anesthesia concern with minimal activity | Noticing burning allergy to anesthesia concern with minimal activity appeared for six months. | Anesthesiology
crushing pre‑operative anesthesia evaluation | Feeling crushing pre‑operative anesthesia evaluation started for one day. | Anesthesiology
